Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
2,Rafael Nadal,250.4,42.4,64.4,63.6,80.0
5,Nick Kyrgios,237.9,42.4,70.5,65.0,60.0
6,Alex de Minaur,237.3,44.2,58.8,59.3,75.0
10,Denis Shapovalov,233.1,40.8,67.7,57.9,66.7
13,Alexander Zverev,230.1,39.0,60.2,68.4,62.5
14,Borna Coric,228.5,37.6,66.2,53.3,71.4
16,Stefanos Tsitsipas,227.4,35.2,67.2,69.4,55.6
17,Daniil Medvedev,226.5,45.0,64.0,73.1,44.4
18,Jannik Sinner,225.8,35.8,73.3,16.7,100.0
19,Andrey Rublev,223.1,37.3,61.6,40.9,83.3
23,Felix Auger-Aliassime,217.3,43.1,60.0,57.1,57.1
24,Novak Djokovic,216.5,47.2,59.1,72.7,37.5
25,Hubert Hurkacz,215.9,38.7,66.1,44.4,66.7
29,Diego Schwartzman,211.0,41.0,61.7,50.0,58.3
30,Pablo Carreno Busta,210.2,40.4,70.8,37.5,61.5
31,Taylor Fritz,209.6,35.0,63.5,61.1,50.0
34,Daniel Evans,205.9,42.0,62.1,46.2,55.6
36,Cameron Norrie,203.6,38.6,65.0,50.0,50.0
37,Marin Cilic,203.1,32.1,66.3,64.7,40.0
40,Matteo Berrettini,200.0,38.1,65.6,51.9,44.4
41,Miomir Kecmanovic,199.5,40.2,63.8,45.5,50.0
46,Karen Khachanov,193.3,39.8,61.8,45.0,46.7
50,Grigor Dimitrov,188.6,42.4,60.9,35.3,50.0
52,Roberto Bautista Agut,188.3,39.9,61.9,22.2,64.3
59,Frances Tiafoe,184.2,38.2,63.1,57.9,25.0
64,Casper Ruud,158.8,40.3,56.0,12.5,50.0
66,Alejandro Davidovich Fokina,135.8,30.0,45.8,60.0,0.0
68,Tommy Paul,115.2,50.0,65.2,0.0,0.0
