Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct,Año,Superficie
Novak Djokovic,158.4,34.6,54.8,31.4,37.6,2018,Grass
Rafael Nadal,153.4,31.2,52.7,26.9,42.6,2018,Grass
Daniil Medvedev,152.8,27.1,51.6,23.0,51.1,2018,Grass
Borna Coric,140.1,22.9,52.2,21.7,43.3,2018,Grass
Karen Khachanov,136.1,26.0,50.6,19.8,39.7,2018,Grass
Stefanos Tsitsipas,134.8,26.5,50.4,18.8,39.1,2018,Grass
Alexander Zverev,133.7,25.0,54.3,21.1,33.3,2018,Grass
Taylor Fritz,133.3,24.9,47.7,14.9,45.8,2018,Grass
Denis Shapovalov,131.4,25.9,53.5,19.3,32.7,2018,Grass
Marin Cilic,127.2,28.3,48.6,18.2,32.1,2018,Grass
Frances Tiafoe,125.4,23.2,46.7,14.3,41.2,2018,Grass
Grigor Dimitrov,122.9,22.0,55.6,18.6,26.7,2018,Grass
Nick Kyrgios,115.6,20.4,42.4,9.9,42.9,2018,Grass
Alex de Minaur,114.4,26.7,47.4,14.8,25.5,2018,Grass
Matteo Berrettini,113.2,24.7,41.6,15.6,31.3,2018,Grass
Cameron Norrie,113.2,24.9,38.6,16.4,33.3,2018,Grass
Pablo Carreno Busta,111.3,29.3,37.0,15.0,30.0,2018,Grass
Hubert Hurkacz,52.8,23.8,29.0,0.0,0.0,2018,Grass
