Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
2,Casper Ruud,269.3,46.6,59.2,77.8,85.7
3,Cameron Norrie,265.2,46.9,63.3,75.0,80.0
6,Matteo Berrettini,252.9,39.0,62.5,71.4,80.0
7,Pablo Carreno Busta,251.8,44.4,65.7,75.0,66.7
8,Alex de Minaur,251.6,38.0,63.6,50.0,100.0
9,Lorenzo Musetti,249.4,39.1,60.3,100.0,50.0
12,Stefanos Tsitsipas,243.7,44.9,73.1,85.7,40.0
13,Rafael Nadal,243.3,44.4,65.6,50.0,83.3
14,Alejandro Davidovich Fokina,243.0,39.0,54.8,77.8,71.4
17,Diego Schwartzman,235.2,51.0,59.2,100.0,25.0
19,Jannik Sinner,234.5,46.7,61.1,60.0,66.7
22,Alexander Zverev,231.9,46.2,59.0,66.7,60.0
24,Karen Khachanov,222.2,46.2,56.0,100.0,20.0
25,Carlos Alcaraz,219.6,47.4,55.1,57.1,60.0
26,Novak Djokovic,217.5,44.1,64.5,37.5,71.4
33,Miomir Kecmanovic,208.5,36.9,54.9,66.7,50.0
34,Marin Cilic,207.9,32.9,66.7,33.3,75.0
39,Daniel Evans,199.1,46.8,68.9,16.7,66.7
42,Tommy Paul,198.2,40.4,57.8,50.0,50.0
44,Daniil Medvedev,195.8,39.8,56.0,50.0,50.0
46,Hubert Hurkacz,192.2,29.2,63.0,66.7,33.3
48,Francisco Cerundolo,189.4,38.9,63.8,20.0,66.7
55,Andrey Rublev,182.9,45.0,62.9,12.5,62.5
58,Roberto Bautista Agut,179.9,49.0,63.0,42.9,25.0
65,Frances Tiafoe,163.5,40.0,58.5,40.0,25.0
67,Felix Auger-Aliassime,159.7,35.4,57.6,0.0,66.7
68,Denis Shapovalov,158.0,43.3,69.7,25.0,20.0
74,Taylor Fritz,142.1,40.5,51.6,50.0,0.0
75,Holger Rune,138.7,41.2,55.8,25.0,16.7
77,Grigor Dimitrov,126.1,38.8,62.3,25.0,0.0
