Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
1,Matteo Berrettini,288.9,64.5,75.9,56.8,86.7,6.0,1.0
3,Rafael Nadal,283.4,64.1,69.2,62.3,87.0,2.0,1.2
4,Stefanos Tsitsipas,279.5,66.4,70.0,57.2,82.2,6.3,2.6
5,Andrey Rublev,277.0,59.8,75.3,54.5,81.1,7.5,1.2
6,Casper Ruud,276.5,66.0,69.8,56.5,82.3,3.4,1.5
7,Marin Cilic,274.9,56.6,77.2,55.6,83.0,5.0,2.5
9,Novak Djokovic,272.5,64.2,70.6,52.9,82.9,4.2,2.3
10,Alexander Zverev,272.1,67.3,75.7,45.7,80.6,8.3,5.5
11,Pablo Carreno Busta,270.3,71.7,66.5,51.0,77.6,4.7,1.2
13,Grigor Dimitrov,268.2,60.5,69.9,55.6,83.2,2.6,3.6
15,Taylor Fritz,267.5,58.5,75.1,47.1,78.4,10.2,1.8
17,Jannik Sinner,266.3,64.9,67.6,53.4,80.9,2.0,2.5
20,Lorenzo Musetti,263.4,64.8,68.1,49.4,80.3,2.4,1.6
23,Hubert Hurkacz,261.2,59.7,70.4,51.9,75.7,7.5,4.0
27,Tommy Paul,258.3,59.9,67.4,52.3,76.2,4.3,1.8
28,Borna Coric,257.3,59.1,74.0,43.4,77.0,5.9,2.1
30,Denis Shapovalov,257.2,58.7,69.0,53.1,77.3,5.7,6.6
35,Roberto Bautista Agut,252.5,67.0,57.8,58.6,67.5,3.3,1.7
37,Felix Auger-Aliassime,247.3,57.3,63.6,55.3,71.1,4.3,4.3
39,Diego Schwartzman,246.3,63.6,63.7,49.7,71.5,1.4,3.6
40,Karen Khachanov,245.8,61.7,68.7,45.8,68.9,4.3,3.6
41,Frances Tiafoe,244.9,56.7,63.4,49.6,73.7,5.0,3.5
44,Carlos Alcaraz,241.4,65.0,66.4,42.7,68.8,3.0,4.5
45,Daniil Medvedev,241.3,60.2,64.9,50.0,66.7,2.5,3.0
46,Alejandro Davidovich Fokina,240.8,64.5,63.4,46.1,68.9,1.7,3.8
48,Daniel Evans,228.0,61.2,67.1,38.9,62.2,2.3,3.7
49,Francisco Cerundolo,221.1,59.3,53.7,48.6,61.5,0.0,2.0
51,Cameron Norrie,210.3,66.9,54.5,42.9,50.0,2.0,6.0
52,Alex de Minaur,204.9,55.9,56.9,44.4,51.7,0.5,4.5
54,Miomir Kecmanovic,171.1,55.9,51.3,34.9,30.0,1.5,2.5
