Tournament,Date,Series,Surface,Round,Winner,Loser,pl1_flag,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_weight,pl2_height,pl2_hand
US Open,2021-09-05,Grand Slam,Hard,4th Round,Daniil Medvedev,Daniel Evans,RUS,81,198,Right-Handed,GBR,75,175,Right-Handed
US Open,2021-09-06,Grand Slam,Hard,4th Round,Felix Auger-Aliassime,Frances Tiafoe,CAN,84,188,Right-Handed,USA,77,188,Right-Handed
US Open,2021-09-06,Grand Slam,Hard,4th Round,Alexander Zverev,Jannik Sinner,GER,86,198,Right-Handed,ITA,76,188,Right-Handed
US Open,2021-09-08,Grand Slam,Hard,Quarterfinals,Felix Auger-Aliassime,Carlos Alcaraz,CAN,84,188,Right-Handed,ESP,72,185,Right-Handed
US Open,2021-09-09,Grand Slam,Hard,Quarterfinals,Novak Djokovic,Matteo Berrettini,SRB,77,188,Right-Handed,ITA,95,196,Right-Handed
US Open,2021-09-10,Grand Slam,Hard,Semifinals,Daniil Medvedev,Felix Auger-Aliassime,RUS,81,198,Right-Handed,CAN,84,188,Right-Handed
US Open,2021-09-11,Grand Slam,Hard,Semifinals,Novak Djokovic,Alexander Zverev,SRB,77,188,Right-Handed,GER,86,198,Right-Handed
US Open,2021-09-12,Grand Slam,Hard,The Final,Daniil Medvedev,Novak Djokovic,RUS,81,198,Right-Handed,SRB,77,188,Right-Handed
Open de Moselle,2021-09-24,ATP250,Hard,Quarterfinals,Pablo Carreno Busta,Holger Rune,ESP,78,188,Right-Handed,DEN,77,188,Right-Handed
Open de Moselle,2021-09-26,ATP250,Hard,The Final,Hubert Hurkacz,Pablo Carreno Busta,ITA,77,188,Right-Handed,ESP,78,188,Right-Handed
San Diego Open,2021-09-30,ATP250,Hard,2nd Round,Cameron Norrie,Daniel Evans,GBR,80,188,Left-Handed,GBR,75,175,Right-Handed
San Diego Open,2021-09-30,ATP250,Hard,2nd Round,Denis Shapovalov,Taylor Fritz,CAN,76,183,Left-Handed,USA,84,193,Right-Handed
San Diego Open,2021-10-01,ATP250,Hard,Quarterfinals,Cameron Norrie,Denis Shapovalov,GBR,80,188,Left-Handed,CAN,76,183,Left-Handed
San Diego Open,2021-10-01,ATP250,Hard,Quarterfinals,Andrey Rublev,Diego Schwartzman,RUS,68,188,Right-Handed,ARG,64,170,Right-Handed
San Diego Open,2021-10-02,ATP250,Hard,Semifinals,Cameron Norrie,Andrey Rublev,GBR,80,188,Left-Handed,RUS,68,188,Right-Handed
San Diego Open,2021-10-03,ATP250,Hard,Semifinals,Casper Ruud,Grigor Dimitrov,NOR,77,183,Right-Handed,BUL,80,191,Right-Handed
San Diego Open,2021-10-04,ATP250,Hard,The Final,Casper Ruud,Cameron Norrie,NOR,77,183,Right-Handed,GBR,80,188,Left-Handed
BNP Paribas Open,2021-10-11,Masters 1000,Hard,3rd Round,Diego Schwartzman,Daniel Evans,ARG,64,170,Right-Handed,GBR,75,175,Right-Handed
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Hubert Hurkacz,Frances Tiafoe,ITA,77,188,Right-Handed,USA,77,188,Right-Handed
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Tommy Paul,Andrey Rublev,USA,78,185,Right-Handed,RUS,68,188,Right-Handed
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Cameron Norrie,Roberto Bautista Agut,GBR,80,188,Left-Handed,ESP,76,183,Right-Handed
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Taylor Fritz,Matteo Berrettini,USA,84,193,Right-Handed,ITA,95,196,Right-Handed
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Karen Khachanov,Pablo Carreno Busta,RUS,88,198,Right-Handed,ESP,78,188,Right-Handed
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Diego Schwartzman,Casper Ruud,ARG,64,170,Right-Handed,NOR,77,183,Right-Handed
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Cameron Norrie,Tommy Paul,GBR,80,188,Left-Handed,USA,78,185,Right-Handed
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Grigor Dimitrov,Daniil Medvedev,BUL,80,191,Right-Handed,RUS,81,198,Right-Handed
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Taylor Fritz,Jannik Sinner,USA,84,193,Right-Handed,ITA,76,188,Right-Handed
BNP Paribas Open,2021-10-14,Masters 1000,Hard,4th Round,Stefanos Tsitsipas,Alex de Minaur,GRE,83,193,Right-Handed,AUS,69,180,Right-Handed
BNP Paribas Open,2021-10-14,Masters 1000,Hard,Quarterfinals,Cameron Norrie,Diego Schwartzman,GBR,80,188,Left-Handed,ARG,64,170,Right-Handed
BNP Paribas Open,2021-10-14,Masters 1000,Hard,Quarterfinals,Grigor Dimitrov,Hubert Hurkacz,BUL,80,191,Right-Handed,ITA,77,188,Right-Handed
BNP Paribas Open,2021-10-15,Masters 1000,Hard,Quarterfinals,Taylor Fritz,Alexander Zverev,USA,84,193,Right-Handed,GER,86,198,Right-Handed
BNP Paribas Open,2021-10-16,Masters 1000,Hard,Semifinals,Cameron Norrie,Grigor Dimitrov,GBR,80,188,Left-Handed,BUL,80,191,Right-Handed
European Open,2021-10-20,ATP250,Hard,2nd Round,Jannik Sinner,Lorenzo Musetti,ITA,76,188,Right-Handed,ITA,78,185,Right-Handed
European Open,2021-10-24,ATP250,Hard,The Final,Jannik Sinner,Diego Schwartzman,ITA,76,188,Right-Handed,ARG,64,170,Right-Handed
Kremlin Cup,2021-10-20,ATP250,Hard,2nd Round,Marin Cilic,Tommy Paul,CRO,89,198,Right-Handed,USA,78,185,Right-Handed
St. Petersburg Open,2021-10-28,ATP250,Hard,2nd Round,Taylor Fritz,Tommy Paul,USA,84,193,Right-Handed,USA,78,185,Right-Handed
St. Petersburg Open,2021-10-28,ATP250,Hard,2nd Round,Marin Cilic,Karen Khachanov,CRO,89,198,Right-Handed,RUS,88,198,Right-Handed
St. Petersburg Open,2021-10-29,ATP250,Hard,Quarterfinals,Marin Cilic,Roberto Bautista Agut,CRO,89,198,Right-Handed,ESP,76,183,Right-Handed
St. Petersburg Open,2021-10-31,ATP250,Hard,The Final,Marin Cilic,Taylor Fritz,CRO,89,198,Right-Handed,USA,84,193,Right-Handed
Vienna Open,2021-10-25,ATP500,Hard,1st Round,Carlos Alcaraz,Daniel Evans,ESP,72,185,Right-Handed,GBR,75,175,Right-Handed
Vienna Open,2021-10-26,ATP500,Hard,1st Round,Stefanos Tsitsipas,Grigor Dimitrov,GRE,83,193,Right-Handed,BUL,80,191,Right-Handed
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Felix Auger-Aliassime,Cameron Norrie,CAN,84,188,Right-Handed,GBR,80,188,Left-Handed
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Alexander Zverev,Alex de Minaur,GER,86,198,Right-Handed,AUS,69,180,Right-Handed
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Frances Tiafoe,Stefanos Tsitsipas,USA,77,188,Right-Handed,GRE,83,193,Right-Handed
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Carlos Alcaraz,Matteo Berrettini,ESP,72,185,Right-Handed,ITA,95,196,Right-Handed
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Alexander Zverev,Felix Auger-Aliassime,GER,86,198,Right-Handed,CAN,84,188,Right-Handed
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Frances Tiafoe,Diego Schwartzman,USA,77,188,Right-Handed,ARG,64,170,Right-Handed
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Jannik Sinner,Casper Ruud,ITA,76,188,Right-Handed,NOR,77,183,Right-Handed
Vienna Open,2021-10-30,ATP500,Hard,Semifinals,Alexander Zverev,Carlos Alcaraz,GER,86,198,Right-Handed,ESP,72,185,Right-Handed
Vienna Open,2021-10-30,ATP500,Hard,Semifinals,Frances Tiafoe,Jannik Sinner,USA,77,188,Right-Handed,ITA,76,188,Right-Handed
Vienna Open,2021-10-31,ATP500,Hard,The Final,Alexander Zverev,Frances Tiafoe,GER,86,198,Right-Handed,USA,77,188,Right-Handed
BNP Paribas Masters,2021-11-02,Masters 1000,Hard,1st Round,Marin Cilic,Alejandro Davidovich Fokina,CRO,89,198,Right-Handed,ESP,80,183,Right-Handed
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Taylor Fritz,Andrey Rublev,USA,84,193,Right-Handed,RUS,68,188,Right-Handed
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Hubert Hurkacz,Tommy Paul,ITA,77,188,Right-Handed,USA,78,185,Right-Handed
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Grigor Dimitrov,Karen Khachanov,BUL,80,191,Right-Handed,RUS,88,198,Right-Handed
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Carlos Alcaraz,Jannik Sinner,ESP,72,185,Right-Handed,ITA,76,188,Right-Handed
BNP Paribas Masters,2021-11-04,Masters 1000,Hard,3rd Round,Taylor Fritz,Cameron Norrie,USA,84,193,Right-Handed,GBR,80,188,Left-Handed
BNP Paribas Masters,2021-11-04,Masters 1000,Hard,3rd Round,Alexander Zverev,Grigor Dimitrov,GER,86,198,Right-Handed,BUL,80,191,Right-Handed
BNP Paribas Masters,2021-11-05,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Taylor Fritz,SRB,77,188,Right-Handed,USA,84,193,Right-Handed
BNP Paribas Masters,2021-11-05,Masters 1000,Hard,Quarterfinals,Alexander Zverev,Casper Ruud,GER,86,198,Right-Handed,NOR,77,183,Right-Handed
BNP Paribas Masters,2021-11-06,Masters 1000,Hard,Semifinals,Novak Djokovic,Hubert Hurkacz,SRB,77,188,Right-Handed,ITA,77,188,Right-Handed
BNP Paribas Masters,2021-11-06,Masters 1000,Hard,Semifinals,Daniil Medvedev,Alexander Zverev,RUS,81,198,Right-Handed,GER,86,198,Right-Handed
BNP Paribas Masters,2021-11-07,Masters 1000,Hard,The Final,Novak Djokovic,Daniil Medvedev,SRB,77,188,Right-Handed,RUS,81,198,Right-Handed
Stockholm Open,2021-11-10,ATP250,Hard,2nd Round,Daniel Evans,Alejandro Davidovich Fokina,GBR,75,175,Right-Handed,ESP,80,183,Right-Handed
Stockholm Open,2021-11-10,ATP250,Hard,2nd Round,Tommy Paul,Taylor Fritz,USA,78,185,Right-Handed,USA,84,193,Right-Handed
Stockholm Open,2021-11-11,ATP250,Hard,Quarterfinals,Frances Tiafoe,Daniel Evans,USA,77,188,Right-Handed,GBR,75,175,Right-Handed
Stockholm Open,2021-11-12,ATP250,Hard,Semifinals,Tommy Paul,Frances Tiafoe,USA,78,185,Right-Handed,USA,77,188,Right-Handed
Stockholm Open,2021-11-12,ATP250,Hard,Semifinals,Denis Shapovalov,Felix Auger-Aliassime,CAN,76,183,Left-Handed,CAN,84,188,Right-Handed
Stockholm Open,2021-11-13,ATP250,Hard,The Final,Tommy Paul,Denis Shapovalov,USA,78,185,Right-Handed,CAN,76,183,Left-Handed
Masters Cup,2021-11-14,Masters Cup,Hard,Round Robin,Daniil Medvedev,Hubert Hurkacz,RUS,81,198,Right-Handed,ITA,77,188,Right-Handed
Masters Cup,2021-11-14,Masters Cup,Hard,Round Robin,Matteo Berrettini,Alexander Zverev,ITA,95,196,Right-Handed,GER,86,198,Right-Handed
Masters Cup,2021-11-15,Masters Cup,Hard,Round Robin,Novak Djokovic,Casper Ruud,SRB,77,188,Right-Handed,NOR,77,183,Right-Handed
Masters Cup,2021-11-15,Masters Cup,Hard,Round Robin,Andrey Rublev,Stefanos Tsitsipas,RUS,68,188,Right-Handed,GRE,83,193,Right-Handed
Masters Cup,2021-11-16,Masters Cup,Hard,Round Robin,Daniil Medvedev,Alexander Zverev,RUS,81,198,Right-Handed,GER,86,198,Right-Handed
Masters Cup,2021-11-16,Masters Cup,Hard,Round Robin,Jannik Sinner,Hubert Hurkacz,ITA,76,188,Right-Handed,ITA,77,188,Right-Handed
Masters Cup,2021-11-17,Masters Cup,Hard,Round Robin,Novak Djokovic,Andrey Rublev,SRB,77,188,Right-Handed,RUS,68,188,Right-Handed
Masters Cup,2021-11-17,Masters Cup,Hard,Round Robin,Casper Ruud,Cameron Norrie,NOR,77,183,Right-Handed,GBR,80,188,Left-Handed
Masters Cup,2021-11-18,Masters Cup,Hard,Round Robin,Alexander Zverev,Hubert Hurkacz,GER,86,198,Right-Handed,ITA,77,188,Right-Handed
Masters Cup,2021-11-18,Masters Cup,Hard,Round Robin,Daniil Medvedev,Jannik Sinner,RUS,81,198,Right-Handed,ITA,76,188,Right-Handed
Masters Cup,2021-11-19,Masters Cup,Hard,Round Robin,Casper Ruud,Andrey Rublev,NOR,77,183,Right-Handed,RUS,68,188,Right-Handed
Masters Cup,2021-11-19,Masters Cup,Hard,Round Robin,Novak Djokovic,Cameron Norrie,SRB,77,188,Right-Handed,GBR,80,188,Left-Handed
Masters Cup,2021-11-20,Masters Cup,Hard,Semifinals,Daniil Medvedev,Casper Ruud,RUS,81,198,Right-Handed,NOR,77,183,Right-Handed
Masters Cup,2021-11-20,Masters Cup,Hard,Semifinals,Alexander Zverev,Novak Djokovic,GER,86,198,Right-Handed,SRB,77,188,Right-Handed
Masters Cup,2021-11-21,Masters Cup,Hard,The Final,Alexander Zverev,Daniil Medvedev,GER,86,198,Right-Handed,RUS,81,198,Right-Handed
Qatar Exxon Mobil Open,2020-01-10,ATP250,Hard,Semifinals,Andrey Rublev,Miomir Kecmanovic,RUS,68,188,Right-Handed,SRB,75,183,Right-Handed
ASB Classic,2020-01-16,ATP250,Hard,Quarterfinals,Andrey Rublev,Daniel Evans,RUS,68,188,Right-Handed,GBR,75,175,Right-Handed
ASB Classic,2020-01-17,ATP250,Hard,Semifinals,Andrey Rublev,Felix Auger-Aliassime,RUS,68,188,Right-Handed,CAN,84,188,Right-Handed
Australian Open,2020-01-21,Grand Slam,Hard,1st Round,Daniil Medvedev,Frances Tiafoe,RUS,81,198,Right-Handed,USA,77,188,Right-Handed
Australian Open,2020-01-22,Grand Slam,Hard,2nd Round,Diego Schwartzman,Alejandro Davidovich Fokina,ARG,64,170,Right-Handed,ESP,80,183,Right-Handed
Australian Open,2020-01-22,Grand Slam,Hard,2nd Round,Tommy Paul,Grigor Dimitrov,USA,78,185,Right-Handed,BUL,80,191,Right-Handed
Australian Open,2020-01-24,Grand Slam,Hard,3rd Round,Marin Cilic,Roberto Bautista Agut,CRO,89,198,Right-Handed,ESP,76,183,Right-Handed
Australian Open,2020-01-25,Grand Slam,Hard,3rd Round,Rafael Nadal,Pablo Carreno Busta,ESP,85,185,Left-Handed,ESP,78,188,Right-Handed
Australian Open,2020-01-25,Grand Slam,Hard,3rd Round,Nick Kyrgios,Karen Khachanov,AUS,85,193,Right-Handed,RUS,88,198,Right-Handed
Australian Open,2020-01-26,Grand Slam,Hard,4th Round,Novak Djokovic,Diego Schwartzman,SRB,77,188,Right-Handed,ARG,64,170,Right-Handed
Australian Open,2020-01-27,Grand Slam,Hard,4th Round,Rafael Nadal,Nick Kyrgios,ESP,85,185,Left-Handed,AUS,85,193,Right-Handed
Australian Open,2020-01-27,Grand Slam,Hard,4th Round,Alexander Zverev,Andrey Rublev,GER,86,198,Right-Handed,RUS,68,188,Right-Handed
New York Open,2020-02-10,ATP250,Hard,1st Round,Miomir Kecmanovic,Tommy Paul,SRB,75,183,Right-Handed,USA,78,185,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-10,ATP500,Hard,1st Round,Grigor Dimitrov,Denis Shapovalov,BUL,80,191,Right-Handed,CAN,76,183,Left-Handed
ABN AMRO World Tennis Tournament,2020-02-11,ATP500,Hard,1st Round,Stefanos Tsitsipas,Hubert Hurkacz,GRE,83,193,Right-Handed,ITA,77,188,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Pablo Carreno Busta,Roberto Bautista Agut,ESP,78,188,Right-Handed,ESP,76,183,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Daniel Evans,Karen Khachanov,GBR,75,175,Right-Handed,RUS,88,198,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Felix Auger-Aliassime,Grigor Dimitrov,CAN,84,188,Right-Handed,BUL,80,191,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-14,ATP500,Hard,Quarterfinals,Pablo Carreno Busta,Jannik Sinner,ESP,78,188,Right-Handed,ITA,76,188,Right-Handed
ABN AMRO World Tennis Tournament,2020-02-15,ATP500,Hard,Semifinals,Felix Auger-Aliassime,Pablo Carreno Busta,CAN,84,188,Right-Handed,ESP,78,188,Right-Handed
Delray Beach Open,2020-02-18,ATP250,Hard,1st Round,Cameron Norrie,Taylor Fritz,GBR,80,188,Left-Handed,USA,84,193,Right-Handed
Delray Beach Open,2020-02-20,ATP250,Hard,2nd Round,Frances Tiafoe,Tommy Paul,USA,77,188,Right-Handed,USA,78,185,Right-Handed
Open 13,2020-02-20,ATP250,Hard,2nd Round,Denis Shapovalov,Marin Cilic,CAN,76,183,Left-Handed,CRO,89,198,Right-Handed
Open 13,2020-02-20,ATP250,Hard,2nd Round,Daniil Medvedev,Jannik Sinner,RUS,81,198,Right-Handed,ITA,76,188,Right-Handed
Open 13,2020-02-23,ATP250,Hard,The Final,Stefanos Tsitsipas,Felix Auger-Aliassime,GRE,83,193,Right-Handed,CAN,84,188,Right-Handed
Abierto Mexicano,2020-02-25,ATP500,Hard,1st Round,Miomir Kecmanovic,Alex de Minaur,SRB,75,183,Right-Handed,AUS,69,180,Right-Handed
Abierto Mexicano,2020-02-27,ATP500,Hard,2nd Round,Tommy Paul,Alexander Zverev,USA,78,185,Right-Handed,GER,86,198,Right-Handed
Abierto Mexicano,2020-02-27,ATP500,Hard,2nd Round,Rafael Nadal,Miomir Kecmanovic,ESP,85,185,Left-Handed,SRB,75,183,Right-Handed
Abierto Mexicano,2020-02-29,ATP500,Hard,Semifinals,Rafael Nadal,Grigor Dimitrov,ESP,85,185,Left-Handed,BUL,80,191,Right-Handed
Abierto Mexicano,2020-03-01,ATP500,Hard,The Final,Rafael Nadal,Taylor Fritz,ESP,85,185,Left-Handed,USA,84,193,Right-Handed
Dubai Tennis Championships,2020-02-24,ATP500,Hard,1st Round,Andrey Rublev,Lorenzo Musetti,RUS,68,188,Right-Handed,ITA,78,185,Right-Handed
Dubai Tennis Championships,2020-02-25,ATP500,Hard,1st Round,Stefanos Tsitsipas,Pablo Carreno Busta,GRE,83,193,Right-Handed,ESP,78,188,Right-Handed
Dubai Tennis Championships,2020-02-27,ATP500,Hard,Quarterfinals,Daniel Evans,Andrey Rublev,GBR,75,175,Right-Handed,RUS,68,188,Right-Handed
Dubai Tennis Championships,2020-02-27,ATP500,Hard,Quarterfinals,Novak Djokovic,Karen Khachanov,SRB,77,188,Right-Handed,RUS,88,198,Right-Handed
Dubai Tennis Championships,2020-02-28,ATP500,Hard,Semifinals,Stefanos Tsitsipas,Daniel Evans,GRE,83,193,Right-Handed,GBR,75,175,Right-Handed
Dubai Tennis Championships,2020-02-29,ATP500,Hard,The Final,Novak Djokovic,Stefanos Tsitsipas,SRB,77,188,Right-Handed,GRE,83,193,Right-Handed
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Denis Shapovalov,Marin Cilic,CAN,76,183,Left-Handed,CRO,89,198,Right-Handed
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Diego Schwartzman,Casper Ruud,ARG,64,170,Right-Handed,NOR,77,183,Right-Handed
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Daniel Evans,Andrey Rublev,GBR,75,175,Right-Handed,RUS,68,188,Right-Handed
Western & Southern Financial Group Masters,2020-08-24,Masters 1000,Hard,2nd Round,Karen Khachanov,Pablo Carreno Busta,RUS,88,198,Right-Handed,ESP,78,188,Right-Handed
Western & Southern Financial Group Masters,2020-08-25,Masters 1000,Hard,3rd Round,Roberto Bautista Agut,Karen Khachanov,ESP,76,183,Right-Handed,RUS,88,198,Right-Handed
Western & Southern Financial Group Masters,2020-08-26,Masters 1000,Hard,Quarterfinals,Roberto Bautista Agut,Daniil Medvedev,ESP,76,183,Right-Handed,RUS,81,198,Right-Handed
Western & Southern Financial Group Masters,2020-08-28,Masters 1000,Hard,Semifinals,Novak Djokovic,Roberto Bautista Agut,SRB,77,188,Right-Handed,ESP,76,183,Right-Handed
US Open,2020-08-31,Grand Slam,Hard,1st Round,Cameron Norrie,Diego Schwartzman,GBR,80,188,Left-Handed,ARG,64,170,Right-Handed
US Open,2020-09-01,Grand Slam,Hard,1st Round,Karen Khachanov,Jannik Sinner,RUS,88,198,Right-Handed,ITA,76,188,Right-Handed
US Open,2020-09-02,Grand Slam,Hard,1st Round,Grigor Dimitrov,Tommy Paul,BUL,80,191,Right-Handed,USA,78,185,Right-Handed
US Open,2020-09-02,Grand Slam,Hard,2nd Round,Alejandro Davidovich Fokina,Hubert Hurkacz,ESP,80,183,Right-Handed,ITA,77,188,Right-Handed
US Open,2020-09-03,Grand Slam,Hard,2nd Round,Roberto Bautista Agut,Miomir Kecmanovic,ESP,76,183,Right-Handed,SRB,75,183,Right-Handed
US Open,2020-09-04,Grand Slam,Hard,3rd Round,Alejandro Davidovich Fokina,Cameron Norrie,ESP,80,183,Right-Handed,GBR,80,188,Left-Handed
US Open,2020-09-04,Grand Slam,Hard,3rd Round,Denis Shapovalov,Taylor Fritz,CAN,76,183,Left-Handed,USA,84,193,Right-Handed
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Borna Coric,Stefanos Tsitsipas,CRO,79,185,Right-Handed,GRE,83,193,Right-Handed
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Alex de Minaur,Karen Khachanov,AUS,69,180,Right-Handed,RUS,88,198,Right-Handed
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Matteo Berrettini,Casper Ruud,ITA,95,196,Right-Handed,NOR,77,183,Right-Handed
US Open,2020-09-06,Grand Slam,Hard,4th Round,Alexander Zverev,Alejandro Davidovich Fokina,GER,86,198,Right-Handed,ESP,80,183,Right-Handed
US Open,2020-09-06,Grand Slam,Hard,4th Round,Pablo Carreno Busta,Novak Djokovic,ESP,78,188,Right-Handed,SRB,77,188,Right-Handed
US Open,2020-09-08,Grand Slam,Hard,4th Round,Andrey Rublev,Matteo Berrettini,RUS,68,188,Right-Handed,ITA,95,196,Right-Handed
US Open,2020-09-08,Grand Slam,Hard,4th Round,Daniil Medvedev,Frances Tiafoe,RUS,81,198,Right-Handed,USA,77,188,Right-Handed
US Open,2020-09-08,Grand Slam,Hard,Quarterfinals,Alexander Zverev,Borna Coric,GER,86,198,Right-Handed,CRO,79,185,Right-Handed
US Open,2020-09-09,Grand Slam,Hard,Quarterfinals,Pablo Carreno Busta,Denis Shapovalov,ESP,78,188,Right-Handed,CAN,76,183,Left-Handed
US Open,2020-09-09,Grand Slam,Hard,Quarterfinals,Daniil Medvedev,Andrey Rublev,RUS,81,198,Right-Handed,RUS,68,188,Right-Handed
US Open,2020-09-11,Grand Slam,Hard,Semifinals,Alexander Zverev,Pablo Carreno Busta,GER,86,198,Right-Handed,ESP,78,188,Right-Handed
Internazionali BNL d'Italia,2020-09-14,Masters 1000,Clay,1st Round,Casper Ruud,Karen Khachanov,NOR,77,183,Right-Handed,RUS,88,198,Right-Handed
Internazionali BNL d'Italia,2020-09-14,Masters 1000,Clay,1st Round,Hubert Hurkacz,Daniel Evans,ITA,77,188,Right-Handed,GBR,75,175,Right-Handed
Internazionali BNL d'Italia,2020-09-16,Masters 1000,Clay,2nd Round,Jannik Sinner,Stefanos Tsitsipas,ITA,76,188,Right-Handed,GRE,83,193,Right-Handed
Internazionali BNL d'Italia,2020-09-16,Masters 1000,Clay,2nd Round,Rafael Nadal,Pablo Carreno Busta,ESP,85,185,Left-Handed,ESP,78,188,Right-Handed
Internazionali BNL d'Italia,2020-09-17,Masters 1000,Clay,2nd Round,Hubert Hurkacz,Andrey Rublev,ITA,77,188,Right-Handed,RUS,68,188,Right-Handed
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Grigor Dimitrov,Jannik Sinner,BUL,80,191,Right-Handed,ITA,76,188,Right-Handed
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Casper Ruud,Marin Cilic,NOR,77,183,Right-Handed,CRO,89,198,Right-Handed
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Diego Schwartzman,Hubert Hurkacz,ARG,64,170,Right-Handed,ITA,77,188,Right-Handed
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Casper Ruud,Matteo Berrettini,NOR,77,183,Right-Handed,ITA,95,196,Right-Handed
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Denis Shapovalov,Grigor Dimitrov,CAN,76,183,Left-Handed,BUL,80,191,Right-Handed
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Diego Schwartzman,Rafael Nadal,ARG,64,170,Right-Handed,ESP,85,185,Left-Handed
Internazionali BNL d'Italia,2020-09-20,Masters 1000,Clay,Semifinals,Novak Djokovic,Casper Ruud,SRB,77,188,Right-Handed,NOR,77,183,Right-Handed
Internazionali BNL d'Italia,2020-09-20,Masters 1000,Clay,Semifinals,Diego Schwartzman,Denis Shapovalov,ARG,64,170,Right-Handed,CAN,76,183,Left-Handed
Internazionali BNL d'Italia,2020-09-21,Masters 1000,Clay,The Final,Novak Djokovic,Diego Schwartzman,SRB,77,188,Right-Handed,ARG,64,170,Right-Handed
German Tennis Championships,2020-09-23,ATP500,Clay,1st Round,Stefanos Tsitsipas,Daniel Evans,GRE,83,193,Right-Handed,GBR,75,175,Right-Handed
German Tennis Championships,2020-09-23,ATP500,Clay,2nd Round,Andrey Rublev,Tommy Paul,RUS,68,188,Right-Handed,USA,78,185,Right-Handed
German Tennis Championships,2020-09-25,ATP500,Clay,Quarterfinals,Andrey Rublev,Roberto Bautista Agut,RUS,68,188,Right-Handed,ESP,76,183,Right-Handed
German Tennis Championships,2020-09-26,ATP500,Clay,Semifinals,Andrey Rublev,Casper Ruud,RUS,68,188,Right-Handed,NOR,77,183,Right-Handed
German Tennis Championships,2020-09-27,ATP500,Clay,The Final,Andrey Rublev,Stefanos Tsitsipas,RUS,68,188,Right-Handed,GRE,83,193,Right-Handed
French Open,2020-09-27,Grand Slam,Clay,1st Round,Diego Schwartzman,Miomir Kecmanovic,ARG,64,170,Right-Handed,SRB,75,183,Right-Handed
French Open,2020-09-30,Grand Slam,Clay,2nd Round,Casper Ruud,Tommy Paul,NOR,77,183,Right-Handed,USA,78,185,Right-Handed
French Open,2020-10-01,Grand Slam,Clay,2nd Round,Andrey Rublev,Alejandro Davidovich Fokina,RUS,68,188,Right-Handed,ESP,80,183,Right-Handed
French Open,2020-10-03,Grand Slam,Clay,3rd Round,Pablo Carreno Busta,Roberto Bautista Agut,ESP,78,188,Right-Handed,ESP,76,183,Right-Handed
French Open,2020-10-04,Grand Slam,Clay,4th Round,Jannik Sinner,Alexander Zverev,ITA,76,188,Right-Handed,GER,86,198,Right-Handed
French Open,2020-10-05,Grand Slam,Clay,4th Round,Stefanos Tsitsipas,Grigor Dimitrov,GRE,83,193,Right-Handed,BUL,80,191,Right-Handed
French Open,2020-10-05,Grand Slam,Clay,4th Round,Novak Djokovic,Karen Khachanov,SRB,77,188,Right-Handed,RUS,88,198,Right-Handed
