Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Nick Kyrgios,271.4,71.4,50.0,50.0,100.0
3,Diego Schwartzman,266.7,45.6,52.2,80.0,88.9
7,Felix Auger-Aliassime,257.7,39.5,61.1,100.0,57.1
8,Novak Djokovic,253.5,54.5,69.0,80.0,50.0
9,Andrey Rublev,250.9,40.6,60.3,100.0,50.0
12,Casper Ruud,240.9,46.6,65.8,57.1,71.4
15,Matteo Berrettini,235.7,37.7,73.0,50.0,75.0
16,Rafael Nadal,233.5,48.3,68.5,50.0,66.7
21,Stefanos Tsitsipas,221.8,42.8,62.3,66.7,50.0
27,Roberto Bautista Agut,211.3,43.1,51.5,66.7,50.0
30,Miomir Kecmanovic,206.8,47.8,59.0,0.0,100.0
36,Alexander Zverev,201.6,41.5,56.3,45.5,58.3
37,Marin Cilic,200.0,46.7,63.3,40.0,50.0
45,Karen Khachanov,193.5,41.2,63.7,28.6,60.0
47,Daniel Evans,192.5,25.8,66.7,100.0,0.0
48,Frances Tiafoe,191.4,39.3,42.1,60.0,50.0
53,Taylor Fritz,181.9,31.0,40.9,60.0,50.0
54,Cameron Norrie,180.7,42.6,54.8,33.3,50.0
57,Jannik Sinner,178.2,39.1,39.1,0.0,100.0
59,Grigor Dimitrov,177.9,38.1,64.8,25.0,50.0
60,Pablo Carreno Busta,173.9,33.6,63.5,62.5,14.3
63,Borna Coric,170.6,35.0,57.0,28.6,50.0
64,Denis Shapovalov,161.3,29.8,58.2,40.0,33.3
66,Alejandro Davidovich Fokina,154.5,46.2,55.0,20.0,33.3
70,Daniil Medvedev,147.8,41.4,49.3,0.0,57.1
72,Francisco Cerundolo,104.5,50.0,54.5,0.0,0.0
74,Hubert Hurkacz,90.6,40.6,50.0,0.0,0.0
75,Alex de Minaur,83.3,25.0,58.3,0.0,0.0
76,Tommy Paul,83.3,33.3,50.0,0.0,0.0
