Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
4,Nick Kyrgios,285.5,60.0,69.4,59.7,88.9,12.0,4.5
5,Rafael Nadal,284.9,63.3,72.5,61.5,87.8,1.4,1.6
7,Matteo Berrettini,283.7,63.7,74.5,55.4,85.2,6.6,1.7
10,Marin Cilic,279.6,58.4,76.1,54.5,85.9,7.6,2.9
14,Hubert Hurkacz,275.8,63.2,70.2,57.3,81.5,6.3,2.7
15,Borna Coric,274.9,63.4,72.3,53.5,81.0,6.7,2.0
16,Novak Djokovic,273.9,67.5,69.1,54.5,80.5,4.3,2.0
18,Alexander Zverev,273.7,65.2,71.2,53.6,80.2,6.1,2.6
21,Cameron Norrie,271.8,68.8,67.3,51.2,83.2,3.3,2.0
23,Karen Khachanov,271.1,60.9,72.6,51.3,81.9,6.7,2.3
25,Stefanos Tsitsipas,270.5,55.7,72.6,54.8,85.2,4.6,2.4
28,Andrey Rublev,267.5,72.1,66.9,49.6,78.3,2.6,2.0
29,Frances Tiafoe,267.5,60.0,70.5,54.5,79.5,4.9,1.9
31,Roberto Bautista Agut,267.2,62.5,71.8,51.5,80.6,2.9,2.1
33,Denis Shapovalov,266.5,57.2,74.1,53.5,80.9,5.2,4.4
36,Taylor Fritz,265.0,61.0,68.9,51.6,78.2,7.4,2.1
39,Grigor Dimitrov,264.5,62.5,73.0,50.3,77.8,5.9,5.0
43,Casper Ruud,261.5,64.7,68.8,48.8,76.7,4.8,2.3
51,Pablo Carreno Busta,258.1,64.7,67.1,50.3,75.3,2.5,1.8
65,Miomir Kecmanovic,250.0,53.3,71.9,50.0,77.8,3.0,6.0
68,Diego Schwartzman,248.2,61.6,66.8,48.1,72.7,1.8,2.8
69,Felix Auger-Aliassime,247.5,60.4,69.8,44.9,72.6,5.6,5.8
82,Alex de Minaur,233.9,59.0,64.5,45.2,65.6,2.3,2.7
83,Daniil Medvedev,229.3,55.0,62.4,46.9,65.3,3.2,3.5
