Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
4,Nick Kyrgios,299.2,65.9,80.4,49.9,89.1,17.2,3.3
6,Rafael Nadal,294.6,62.6,78.6,58.4,91.6,5.5,2.1
7,Novak Djokovic,294.5,66.0,77.0,59.4,88.5,6.0,2.4
9,Stefanos Tsitsipas,289.8,64.1,77.4,54.6,87.5,8.2,2.0
10,Roberto Bautista Agut,285.6,66.4,73.4,57.0,86.2,4.3,1.7
11,Matteo Berrettini,285.2,61.8,76.7,53.8,86.0,9.0,2.1
13,Daniil Medvedev,284.7,60.9,77.6,54.3,85.7,9.3,3.1
15,Pablo Carreno Busta,283.7,68.3,71.7,54.2,86.5,4.8,1.8
18,Denis Shapovalov,281.4,59.9,78.9,51.6,86.7,8.4,4.1
20,Jannik Sinner,280.1,61.0,74.3,55.7,85.8,4.9,1.6
21,Taylor Fritz,279.9,59.4,76.6,51.1,85.4,9.7,2.3
22,Alex de Minaur,278.5,60.2,75.1,56.1,85.4,4.0,2.3
23,Hubert Hurkacz,276.7,64.9,73.6,51.1,82.5,7.4,2.8
24,Borna Coric,276.0,63.1,73.1,52.1,82.1,8.4,2.8
27,Marin Cilic,275.2,59.3,77.6,48.5,84.6,10.0,4.8
28,Alexander Zverev,275.1,66.7,76.0,46.0,81.1,10.7,5.4
29,Grigor Dimitrov,274.9,62.1,75.5,51.7,82.5,7.2,4.1
30,Frances Tiafoe,274.4,66.2,71.4,51.5,81.3,6.2,2.2
31,Karen Khachanov,273.8,60.8,74.4,51.9,81.6,8.3,3.2
36,Felix Auger-Aliassime,271.2,65.5,75.7,46.0,80.4,8.7,5.1
38,Miomir Kecmanovic,270.5,60.4,72.3,54.8,81.7,3.3,2.0
42,Andrey Rublev,269.5,59.2,74.3,50.9,82.2,6.1,3.2
47,Cameron Norrie,267.3,67.3,69.1,49.7,79.2,5.3,3.3
50,Tommy Paul,266.5,62.6,70.1,53.5,77.8,3.8,1.3
53,Diego Schwartzman,264.3,64.4,69.1,51.7,79.2,2.7,2.8
54,Daniel Evans,264.0,62.5,71.5,51.2,77.5,3.7,2.4
62,Casper Ruud,254.9,64.9,66.9,48.8,72.8,4.1,2.6
70,Alejandro Davidovich Fokina,231.9,56.7,62.2,51.5,61.8,3.0,3.3
