Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Rafael Nadal,217.0,46.9,58.0,50.4,61.7
2,Francisco Cerundolo,196.4,37.3,48.3,30.8,80.0
3,Diego Schwartzman,189.0,38.8,58.6,42.4,49.2
4,Roberto Bautista Agut,188.0,40.8,56.4,43.6,47.2
5,Novak Djokovic,182.3,41.5,56.6,40.4,43.8
6,Jannik Sinner,181.0,38.9,53.3,36.9,51.9
7,Alex de Minaur,172.1,38.8,53.3,34.5,45.5
8,Andrey Rublev,170.1,34.7,53.7,33.0,48.7
9,Lorenzo Musetti,169.3,35.7,52.5,32.3,48.8
11,Karen Khachanov,165.5,33.3,52.3,29.9,50.0
12,Grigor Dimitrov,165.3,37.7,53.8,34.1,39.7
14,Daniel Evans,162.8,33.3,50.0,29.5,50.0
15,Denis Shapovalov,162.7,37.4,52.3,34.8,38.2
19,Cameron Norrie,159.3,36.9,55.2,30.4,36.8
21,Pablo Carreno Busta,158.8,40.0,48.1,34.1,36.6
22,Stefanos Tsitsipas,158.8,32.5,53.2,28.3,44.8
24,Hubert Hurkacz,154.2,31.0,50.0,25.7,47.5
25,Alejandro Davidovich Fokina,153.4,33.8,48.2,27.0,44.4
26,Alexander Zverev,152.3,36.6,48.4,26.0,41.3
29,Daniil Medvedev,148.9,30.2,48.0,20.7,50.0
31,Casper Ruud,147.6,32.8,50.8,27.9,36.1
33,Tommy Paul,145.9,26.2,50.7,25.9,43.1
40,Carlos Alcaraz,138.5,38.7,50.6,25.0,24.2
41,Matteo Berrettini,137.9,33.1,48.4,24.1,32.3
43,Marin Cilic,136.4,25.7,48.7,19.1,42.9
44,Borna Coric,132.9,24.3,52.0,20.2,36.4
48,Taylor Fritz,122.8,31.1,48.1,17.6,26.0
49,Frances Tiafoe,120.9,29.5,45.7,17.1,28.6
50,Miomir Kecmanovic,117.7,35.6,41.3,15.8,25.0
51,Felix Auger-Aliassime,105.4,26.9,43.0,13.3,22.2
