Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
2,Novak Djokovic,282.3,43.3,65.8,87.5,85.7
3,Nick Kyrgios,280.5,50.0,72.2,58.3,100.0
4,Miomir Kecmanovic,243.3,41.5,64.7,57.1,80.0
7,Daniil Medvedev,235.6,41.2,65.2,60.0,69.2
8,Rafael Nadal,233.3,42.9,67.5,42.9,80.0
10,Borna Coric,231.8,46.2,63.9,41.7,80.0
12,Alejandro Davidovich Fokina,228.5,40.1,57.0,60.0,71.4
13,Andrey Rublev,228.1,42.7,65.8,62.5,57.1
14,Daniel Evans,227.4,40.7,60.4,57.1,69.2
16,Felix Auger-Aliassime,222.0,36.1,66.8,59.1,60.0
17,Alexander Zverev,219.3,43.8,62.9,52.6,60.0
18,Pablo Carreno Busta,216.3,37.7,63.0,60.0,55.6
20,Roberto Bautista Agut,215.0,40.4,67.7,62.5,44.4
21,Jannik Sinner,212.5,42.0,67.6,60.0,42.9
26,Marin Cilic,204.6,34.8,67.7,38.5,63.6
27,Alex de Minaur,204.2,42.6,61.6,50.0,50.0
28,Hubert Hurkacz,201.8,39.5,62.3,50.0,50.0
29,Grigor Dimitrov,199.0,47.0,65.6,50.0,36.4
30,Frances Tiafoe,197.1,40.3,61.5,66.7,28.6
32,Karen Khachanov,195.2,43.3,60.1,53.3,38.5
34,Diego Schwartzman,192.2,44.2,54.7,60.0,33.3
36,Tommy Paul,189.1,42.1,59.5,50.0,37.5
37,Stefanos Tsitsipas,187.8,36.0,66.3,45.5,40.0
39,Cameron Norrie,180.0,41.7,61.5,14.3,62.5
40,Matteo Berrettini,178.2,30.6,71.4,42.9,33.3
42,Denis Shapovalov,166.6,35.4,66.1,42.9,22.2
43,Taylor Fritz,165.3,33.7,60.8,33.3,37.5
44,Casper Ruud,154.8,32.9,70.8,11.1,40.0
47,Lorenzo Musetti,116.7,50.0,66.7,0.0,0.0
