Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Novak Djokovic,168.9,33.0,55.1,32.3,48.5
2,Daniil Medvedev,168.2,33.9,55.7,31.4,47.2
3,Diego Schwartzman,164.7,33.5,56.2,32.2,42.8
4,Cameron Norrie,158.9,32.4,53.3,29.0,44.2
6,Rafael Nadal,156.0,30.3,54.2,28.0,43.5
8,Andrey Rublev,155.4,30.2,55.4,26.6,43.2
9,Grigor Dimitrov,154.6,31.5,52.5,27.5,43.1
10,Carlos Alcaraz,152.4,31.0,52.8,27.4,41.2
13,Jannik Sinner,150.7,30.8,52.5,25.1,42.3
14,Roberto Bautista Agut,150.6,28.1,55.6,24.9,42.0
15,Alex de Minaur,150.3,32.5,48.8,25.9,43.1
20,Alexander Zverev,146.6,28.9,54.1,24.9,38.7
22,Stefanos Tsitsipas,146.2,30.8,49.9,23.5,42.0
23,Casper Ruud,146.0,28.3,50.8,22.6,44.3
25,Holger Rune,145.5,27.5,53.7,21.7,42.6
26,Tommy Paul,144.5,31.4,51.0,23.6,38.5
27,Alejandro Davidovich Fokina,143.7,28.9,52.6,24.2,38.0
30,Frances Tiafoe,142.1,28.0,51.7,22.6,39.8
31,Pablo Carreno Busta,141.5,27.6,48.5,21.7,43.7
33,Marin Cilic,140.8,28.6,50.1,22.6,39.5
36,Daniel Evans,137.8,26.7,51.7,20.7,38.7
37,Miomir Kecmanovic,137.7,27.4,50.0,20.3,40.0
41,Matteo Berrettini,135.8,28.8,45.5,18.5,43.0
42,Felix Auger-Aliassime,135.5,30.2,48.5,20.5,36.3
43,Hubert Hurkacz,135.2,29.5,49.1,21.3,35.3
47,Taylor Fritz,134.6,27.1,49.4,19.9,38.2
48,Karen Khachanov,134.6,29.2,50.5,20.3,34.6
50,Denis Shapovalov,133.8,26.6,49.3,18.8,39.1
55,Borna Coric,128.2,27.5,48.1,17.3,35.3
60,Lorenzo Musetti,122.9,27.4,47.9,17.2,30.4
66,Nick Kyrgios,94.3,22.5,41.6,8.3,21.9
