Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
3,Rafael Nadal,298.0,65.7,77.9,57.5,91.0,8.0,2.1
4,Alexander Zverev,295.8,68.9,77.7,53.4,87.5,11.3,3.0
5,Borna Coric,293.0,66.7,76.2,57.3,85.8,9.0,2.0
6,Novak Djokovic,292.4,65.2,77.8,53.5,88.1,10.4,2.6
7,Matteo Berrettini,291.5,64.7,77.6,50.6,88.9,11.3,1.6
9,Stefanos Tsitsipas,288.8,62.3,76.7,56.7,87.7,7.8,2.4
10,Hubert Hurkacz,288.4,64.2,75.4,53.6,86.3,10.5,1.6
11,Daniil Medvedev,288.3,62.3,78.7,53.2,88.1,9.4,3.4
12,Nick Kyrgios,287.7,67.6,77.9,47.1,84.5,12.9,2.3
16,Casper Ruud,282.9,63.3,74.2,56.1,85.0,5.9,1.6
18,Andrey Rublev,280.2,61.2,77.8,49.9,85.2,8.2,2.1
21,Felix Auger-Aliassime,278.4,62.1,77.4,49.5,84.5,9.4,4.5
22,Karen Khachanov,277.4,61.8,73.6,53.3,83.8,7.5,2.6
23,Taylor Fritz,276.6,59.4,76.1,51.0,83.4,9.7,3.0
25,Jannik Sinner,274.0,59.2,72.8,55.1,83.6,5.2,1.9
26,Grigor Dimitrov,272.8,65.0,73.6,51.3,80.6,5.5,3.2
28,Pablo Carreno Busta,272.4,67.3,70.6,52.2,79.6,4.4,1.7
29,Denis Shapovalov,272.2,62.1,75.8,49.3,83.1,7.0,5.1
31,Roberto Bautista Agut,270.6,66.7,70.5,52.2,78.9,3.6,1.3
32,Frances Tiafoe,269.9,60.1,72.6,51.2,81.4,7.3,2.7
33,Marin Cilic,269.7,56.4,77.9,47.9,80.3,11.1,3.9
36,Carlos Alcaraz,269.0,62.1,69.4,56.6,79.2,3.7,2.0
41,Cameron Norrie,266.3,65.3,70.9,48.6,79.3,4.9,2.7
45,Daniel Evans,263.7,61.2,71.5,51.1,78.3,4.6,3.0
47,Tommy Paul,261.2,60.6,70.7,50.1,77.8,4.4,2.4
48,Lorenzo Musetti,259.8,64.1,68.3,48.7,77.0,4.0,2.3
51,Miomir Kecmanovic,258.7,59.9,69.3,51.6,75.8,4.8,2.7
54,Alex de Minaur,255.0,60.0,68.8,50.7,74.1,3.2,1.8
56,Diego Schwartzman,254.9,63.0,67.9,49.6,75.7,1.6,2.9
59,Alejandro Davidovich Fokina,253.5,66.9,65.8,48.3,72.1,3.0,2.6
60,Holger Rune,252.5,57.2,71.8,51.1,71.4,4.6,3.6
