Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
2,Daniel Evans,179.9,37.7,46.9,28.6,66.7
3,Diego Schwartzman,168.6,33.9,53.2,29.5,52.0
5,Roberto Bautista Agut,162.4,22.6,66.7,25.7,47.4
8,Novak Djokovic,158.4,34.6,54.8,31.4,37.6
11,Rafael Nadal,153.4,31.2,52.7,26.9,42.6
13,Daniil Medvedev,152.8,27.1,51.6,23.0,51.1
25,Borna Coric,140.1,22.9,52.2,21.7,43.3
35,Karen Khachanov,136.1,26.0,50.6,19.8,39.7
38,Stefanos Tsitsipas,134.8,26.5,50.4,18.8,39.1
39,Alexander Zverev,133.7,25.0,54.3,21.1,33.3
40,Taylor Fritz,133.3,24.9,47.7,14.9,45.8
43,Denis Shapovalov,131.4,25.9,53.5,19.3,32.7
57,Marin Cilic,127.2,28.3,48.6,18.2,32.1
63,Frances Tiafoe,125.4,23.2,46.7,14.3,41.2
66,Grigor Dimitrov,122.9,22.0,55.6,18.6,26.7
83,Nick Kyrgios,115.6,20.4,42.4,9.9,42.9
87,Alex de Minaur,114.4,26.7,47.4,14.8,25.5
88,Matteo Berrettini,113.2,24.7,41.6,15.6,31.3
89,Cameron Norrie,113.2,24.9,38.6,16.4,33.3
90,Pablo Carreno Busta,111.3,29.3,37.0,15.0,30.0
121,Hubert Hurkacz,52.8,23.8,29.0,0.0,0.0
