Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
5,Marin Cilic,312.8,60.4,86.4,59.1,94.1,16.1,3.3
7,Nick Kyrgios,308.3,67.7,81.6,50.7,91.0,23.5,6.2
8,Novak Djokovic,305.6,71.0,81.0,55.4,92.3,8.3,2.4
12,Rafael Nadal,298.1,68.8,71.6,63.9,91.1,5.7,3.0
15,Roberto Bautista Agut,296.9,66.1,75.3,57.6,94.9,3.8,0.8
20,Stefanos Tsitsipas,292.5,63.1,77.0,56.0,89.6,10.9,4.1
24,Borna Coric,290.8,66.8,74.7,56.0,87.9,6.2,0.8
29,Alexander Zverev,288.4,67.0,76.0,55.0,85.7,7.5,2.8
33,Karen Khachanov,286.7,67.1,75.8,47.3,83.6,16.3,3.4
38,Frances Tiafoe,283.3,61.6,74.7,53.8,85.7,11.3,3.8
64,Grigor Dimitrov,272.7,62.1,75.4,48.0,82.2,9.7,4.7
65,Denis Shapovalov,272.4,58.1,76.3,50.4,82.8,10.3,5.5
69,Cameron Norrie,270.6,60.4,73.6,51.8,84.4,4.0,3.6
75,Taylor Fritz,267.7,57.5,79.4,44.7,78.9,11.5,4.3
76,Daniil Medvedev,267.7,56.1,75.9,49.3,81.8,8.1,3.5
77,Alex de Minaur,266.6,56.2,73.0,56.8,80.0,6.4,5.8
79,Matteo Berrettini,266.6,57.1,78.5,45.3,78.7,9.0,2.0
92,Diego Schwartzman,260.5,62.4,67.5,52.9,76.7,5.3,4.3
98,Hubert Hurkacz,255.7,58.4,69.7,42.6,80.0,9.0,4.0
99,Daniel Evans,254.7,55.1,73.5,47.5,78.6,2.0,2.0
122,Pablo Carreno Busta,208.4,60.7,57.6,40.6,54.5,5.0,10.0
