Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido,Año,Superficie
Daniel Evans,274.8,64.4,71.5,56.5,81.6,3.7,2.9,2019,Grass
Stefanos Tsitsipas,272.6,62.9,75.4,50.0,82.1,6.6,4.4,2019,Grass
Marin Cilic,272.1,58.6,80.2,46.9,82.7,9.5,5.8,2019,Grass
Alexander Zverev,271.1,67.3,76.5,38.3,80.0,16.4,7.4,2019,Grass
Grigor Dimitrov,271.1,68.6,69.2,54.1,72.7,9.0,2.5,2019,Grass
Cameron Norrie,263.7,64.6,70.9,47.6,79.0,5.8,4.2,2019,Grass
Frances Tiafoe,263.3,65.3,69.4,49.6,75.5,6.3,2.8,2019,Grass
Andrey Rublev,261.5,59.0,64.9,57.1,73.5,9.5,2.5,2019,Grass
Jannik Sinner,251.6,60.3,57.1,65.2,70.0,1.0,2.0,2019,Grass
Tommy Paul,249.3,52.8,68.4,55.9,69.2,3.0,0.0,2019,Grass
Alejandro Davidovich Fokina,185.8,76.1,45.7,36.4,28.6,1.0,2.0,2019,Grass
Nick Kyrgios,285.5,60.0,69.4,59.7,88.9,12.0,4.5,2018,Clay
Rafael Nadal,284.9,63.3,72.5,61.5,87.8,1.4,1.6,2018,Clay
Matteo Berrettini,283.7,63.7,74.5,55.4,85.2,6.6,1.7,2018,Clay
Marin Cilic,279.6,58.4,76.1,54.5,85.9,7.6,2.9,2018,Clay
Hubert Hurkacz,275.8,63.2,70.2,57.3,81.5,6.3,2.7,2018,Clay
Borna Coric,274.9,63.4,72.3,53.5,81.0,6.7,2.0,2018,Clay
Novak Djokovic,273.9,67.5,69.1,54.5,80.5,4.3,2.0,2018,Clay
Alexander Zverev,273.7,65.2,71.2,53.6,80.2,6.1,2.6,2018,Clay
Cameron Norrie,271.8,68.8,67.3,51.2,83.2,3.3,2.0,2018,Clay
Karen Khachanov,271.1,60.9,72.6,51.3,81.9,6.7,2.3,2018,Clay
Stefanos Tsitsipas,270.5,55.7,72.6,54.8,85.2,4.6,2.4,2018,Clay
Andrey Rublev,267.5,72.1,66.9,49.6,78.3,2.6,2.0,2018,Clay
Frances Tiafoe,267.5,60.0,70.5,54.5,79.5,4.9,1.9,2018,Clay
Roberto Bautista Agut,267.2,62.5,71.8,51.5,80.6,2.9,2.1,2018,Clay
Denis Shapovalov,266.5,57.2,74.1,53.5,80.9,5.2,4.4,2018,Clay
Taylor Fritz,265.0,61.0,68.9,51.6,78.2,7.4,2.1,2018,Clay
Grigor Dimitrov,264.5,62.5,73.0,50.3,77.8,5.9,5.0,2018,Clay
Casper Ruud,261.5,64.7,68.8,48.8,76.7,4.8,2.3,2018,Clay
Pablo Carreno Busta,258.1,64.7,67.1,50.3,75.3,2.5,1.8,2018,Clay
Miomir Kecmanovic,250.0,53.3,71.9,50.0,77.8,3.0,6.0,2018,Clay
Diego Schwartzman,248.2,61.6,66.8,48.1,72.7,1.8,2.8,2018,Clay
Felix Auger-Aliassime,247.5,60.4,69.8,44.9,72.6,5.6,5.8,2018,Clay
Alex de Minaur,233.9,59.0,64.5,45.2,65.6,2.3,2.7,2018,Clay
Daniil Medvedev,229.3,55.0,62.4,46.9,65.3,3.2,3.5,2018,Clay
Nick Kyrgios,299.2,65.9,80.4,49.9,89.1,17.2,3.3,2018,Hard
Rafael Nadal,294.6,62.6,78.6,58.4,91.6,5.5,2.1,2018,Hard
Novak Djokovic,294.5,66.0,77.0,59.4,88.5,6.0,2.4,2018,Hard
Stefanos Tsitsipas,289.8,64.1,77.4,54.6,87.5,8.2,2.0,2018,Hard
Roberto Bautista Agut,285.6,66.4,73.4,57.0,86.2,4.3,1.7,2018,Hard
Matteo Berrettini,285.2,61.8,76.7,53.8,86.0,9.0,2.1,2018,Hard
Daniil Medvedev,284.7,60.9,77.6,54.3,85.7,9.3,3.1,2018,Hard
Pablo Carreno Busta,283.7,68.3,71.7,54.2,86.5,4.8,1.8,2018,Hard
Denis Shapovalov,281.4,59.9,78.9,51.6,86.7,8.4,4.1,2018,Hard
Jannik Sinner,280.1,61.0,74.3,55.7,85.8,4.9,1.6,2018,Hard
Taylor Fritz,279.9,59.4,76.6,51.1,85.4,9.7,2.3,2018,Hard
Alex de Minaur,278.5,60.2,75.1,56.1,85.4,4.0,2.3,2018,Hard
Hubert Hurkacz,276.7,64.9,73.6,51.1,82.5,7.4,2.8,2018,Hard
Borna Coric,276.0,63.1,73.1,52.1,82.1,8.4,2.8,2018,Hard
Marin Cilic,275.2,59.3,77.6,48.5,84.6,10.0,4.8,2018,Hard
Alexander Zverev,275.1,66.7,76.0,46.0,81.1,10.7,5.4,2018,Hard
Grigor Dimitrov,274.9,62.1,75.5,51.7,82.5,7.2,4.1,2018,Hard
Frances Tiafoe,274.4,66.2,71.4,51.5,81.3,6.2,2.2,2018,Hard
Karen Khachanov,273.8,60.8,74.4,51.9,81.6,8.3,3.2,2018,Hard
Felix Auger-Aliassime,271.2,65.5,75.7,46.0,80.4,8.7,5.1,2018,Hard
Miomir Kecmanovic,270.5,60.4,72.3,54.8,81.7,3.3,2.0,2018,Hard
Andrey Rublev,269.5,59.2,74.3,50.9,82.2,6.1,3.2,2018,Hard
Cameron Norrie,267.3,67.3,69.1,49.7,79.2,5.3,3.3,2018,Hard
Tommy Paul,266.5,62.6,70.1,53.5,77.8,3.8,1.3,2018,Hard
Diego Schwartzman,264.3,64.4,69.1,51.7,79.2,2.7,2.8,2018,Hard
Daniel Evans,264.0,62.5,71.5,51.2,77.5,3.7,2.4,2018,Hard
Casper Ruud,254.9,64.9,66.9,48.8,72.8,4.1,2.6,2018,Hard
Alejandro Davidovich Fokina,231.9,56.7,62.2,51.5,61.8,3.0,3.3,2018,Hard
Marin Cilic,312.8,60.4,86.4,59.1,94.1,16.1,3.3,2018,Grass
Nick Kyrgios,308.3,67.7,81.6,50.7,91.0,23.5,6.2,2018,Grass
Novak Djokovic,305.6,71.0,81.0,55.4,92.3,8.3,2.4,2018,Grass
Rafael Nadal,298.1,68.8,71.6,63.9,91.1,5.7,3.0,2018,Grass
Roberto Bautista Agut,296.9,66.1,75.3,57.6,94.9,3.8,0.8,2018,Grass
Stefanos Tsitsipas,292.5,63.1,77.0,56.0,89.6,10.9,4.1,2018,Grass
Borna Coric,290.8,66.8,74.7,56.0,87.9,6.2,0.8,2018,Grass
Alexander Zverev,288.4,67.0,76.0,55.0,85.7,7.5,2.8,2018,Grass
Karen Khachanov,286.7,67.1,75.8,47.3,83.6,16.3,3.4,2018,Grass
Frances Tiafoe,283.3,61.6,74.7,53.8,85.7,11.3,3.8,2018,Grass
Grigor Dimitrov,272.7,62.1,75.4,48.0,82.2,9.7,4.7,2018,Grass
Denis Shapovalov,272.4,58.1,76.3,50.4,82.8,10.3,5.5,2018,Grass
Cameron Norrie,270.6,60.4,73.6,51.8,84.4,4.0,3.6,2018,Grass
Taylor Fritz,267.7,57.5,79.4,44.7,78.9,11.5,4.3,2018,Grass
Daniil Medvedev,267.7,56.1,75.9,49.3,81.8,8.1,3.5,2018,Grass
Alex de Minaur,266.6,56.2,73.0,56.8,80.0,6.4,5.8,2018,Grass
Matteo Berrettini,266.6,57.1,78.5,45.3,78.7,9.0,2.0,2018,Grass
Diego Schwartzman,260.5,62.4,67.5,52.9,76.7,5.3,4.3,2018,Grass
Hubert Hurkacz,255.7,58.4,69.7,42.6,80.0,9.0,4.0,2018,Grass
Daniel Evans,254.7,55.1,73.5,47.5,78.6,2.0,2.0,2018,Grass
Pablo Carreno Busta,208.4,60.7,57.6,40.6,54.5,5.0,10.0,2018,Grass
