Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Tommy Paul,180.2,31.8,63.3,35.1,50.0
3,Novak Djokovic,167.8,33.7,55.4,31.5,47.2
4,Daniil Medvedev,160.8,30.4,56.6,28.8,45.0
5,Rafael Nadal,160.1,31.6,56.0,30.1,42.4
6,Diego Schwartzman,158.9,32.2,55.7,30.0,41.0
10,Alex de Minaur,149.6,30.5,50.3,24.6,44.2
16,Andrey Rublev,146.1,29.0,54.5,25.3,37.3
18,Roberto Bautista Agut,144.5,28.5,53.0,23.1,39.9
21,Alexander Zverev,144.2,29.1,52.7,23.4,39.0
22,Pablo Carreno Busta,143.9,25.5,54.7,23.3,40.4
23,Grigor Dimitrov,143.6,29.4,49.1,22.7,42.4
24,Daniel Evans,143.5,28.6,49.1,23.8,42.0
30,Miomir Kecmanovic,140.4,26.0,52.7,21.5,40.2
32,Denis Shapovalov,139.7,30.0,47.6,21.3,40.8
33,Felix Auger-Aliassime,139.5,27.3,49.4,19.7,43.1
34,Jannik Sinner,139.3,30.0,49.7,23.8,35.8
35,Cameron Norrie,138.8,29.4,49.7,21.1,38.6
40,Karen Khachanov,136.3,27.3,49.5,19.7,39.8
42,Frances Tiafoe,132.6,25.1,50.6,18.7,38.2
44,Hubert Hurkacz,132.0,26.8,47.6,18.9,38.7
45,Borna Coric,130.4,26.1,49.2,17.5,37.6
52,Casper Ruud,126.9,21.7,47.5,17.4,40.3
54,Matteo Berrettini,126.1,26.2,46.1,15.7,38.1
55,Stefanos Tsitsipas,125.5,27.0,46.3,17.0,35.2
58,Nick Kyrgios,122.6,21.2,45.0,14.0,42.4
59,Marin Cilic,122.0,25.7,48.5,15.7,32.1
64,Taylor Fritz,117.0,22.7,46.6,12.7,35.0
70,Alejandro Davidovich Fokina,100.4,23.8,37.5,9.1,30.0
