Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
2,Matteo Berrettini,292.9,64.9,78.4,53.7,88.9,8.6,1.6
4,Stefanos Tsitsipas,289.3,63.5,75.1,58.6,89.1,4.7,1.7
5,Casper Ruud,283.1,63.5,72.6,58.8,86.3,3.8,1.9
6,Pablo Carreno Busta,282.0,70.5,69.9,56.2,83.1,3.5,1.2
7,Novak Djokovic,275.7,65.1,71.9,54.3,82.5,4.5,2.6
8,Alexander Zverev,273.1,64.6,74.0,50.9,82.2,6.3,4.9
10,Daniil Medvedev,272.3,60.9,73.3,53.8,80.5,6.8,3.0
13,Cameron Norrie,269.6,65.1,71.2,50.0,81.7,4.0,2.4
15,Rafael Nadal,267.7,63.7,70.7,52.8,80.7,2.7,2.9
16,Andrey Rublev,267.6,57.7,74.0,50.5,82.6,4.6,1.8
19,Marin Cilic,263.8,60.2,73.3,47.7,77.4,8.4,3.2
21,Frances Tiafoe,262.9,58.9,65.6,57.5,76.3,6.6,2.0
22,Tommy Paul,262.7,60.5,67.6,55.6,77.9,3.5,2.4
23,Roberto Bautista Agut,262.3,65.5,66.6,53.4,77.0,1.9,2.1
25,Hubert Hurkacz,261.5,59.3,71.7,50.8,75.7,6.6,2.6
26,Denis Shapovalov,261.3,55.1,74.8,49.7,81.9,6.6,6.8
35,Lorenzo Musetti,259.4,70.5,65.4,49.5,74.2,1.5,1.7
37,Felix Auger-Aliassime,258.6,64.5,70.6,46.5,76.5,4.9,4.4
39,Grigor Dimitrov,257.8,61.7,71.1,48.2,77.8,2.5,3.5
40,Jannik Sinner,256.8,60.9,66.1,53.5,74.7,3.4,1.8
41,Alejandro Davidovich Fokina,256.5,69.5,66.7,48.1,73.9,1.4,3.1
43,Daniel Evans,255.7,64.9,63.0,52.3,74.7,2.6,1.8
45,Diego Schwartzman,254.8,65.6,66.0,50.6,74.0,1.5,2.9
46,Taylor Fritz,254.7,56.0,69.9,51.7,73.5,5.6,2.0
47,Karen Khachanov,254.5,63.8,68.8,48.6,70.5,4.6,1.8
52,Carlos Alcaraz,253.6,64.2,66.3,50.3,73.0,1.9,2.1
57,Alex de Minaur,250.4,57.5,65.6,53.1,73.1,3.0,1.9
59,Holger Rune,248.5,62.4,66.3,48.8,71.6,2.5,3.1
61,Francisco Cerundolo,247.6,67.8,63.2,47.1,70.6,1.8,2.9
64,Miomir Kecmanovic,245.6,62.6,61.3,54.3,66.7,2.1,1.4
