Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
2,Novak Djokovic,286.7,46.8,64.9,75.0,100.0
4,Matteo Berrettini,283.3,35.4,72.9,75.0,100.0
8,Borna Coric,263.6,50.0,71.9,66.7,75.0
14,Karen Khachanov,250.8,31.0,69.8,50.0,100.0
21,Felix Auger-Aliassime,238.6,37.9,76.9,57.1,66.7
26,Pablo Carreno Busta,233.9,31.8,77.1,25.0,100.0
30,Taylor Fritz,225.3,42.2,73.1,60.0,50.0
35,Miomir Kecmanovic,214.0,32.7,71.7,42.9,66.7
37,Stefanos Tsitsipas,210.9,20.0,57.6,100.0,33.3
39,Roberto Bautista Agut,207.0,37.0,70.0,100.0,0.0
41,Nick Kyrgios,204.2,47.1,50.0,57.1,50.0
46,Daniel Evans,196.0,31.3,64.7,100.0,0.0
56,Rafael Nadal,184.6,42.9,75.0,66.7,0.0
57,Marin Cilic,184.4,21.9,62.5,100.0,0.0
60,Daniil Medvedev,181.8,37.0,62.7,57.1,25.0
76,Hubert Hurkacz,154.9,31.0,73.9,50.0,0.0
78,Alex de Minaur,153.8,41.7,62.1,50.0,0.0
85,Cameron Norrie,147.0,32.1,64.9,50.0,0.0
86,Alexander Zverev,143.1,23.5,69.6,50.0,0.0
91,Diego Schwartzman,129.5,34.9,61.3,33.3,0.0
94,Frances Tiafoe,123.5,38.5,35.0,50.0,0.0
95,Tommy Paul,116.7,66.7,50.0,0.0,0.0
101,Grigor Dimitrov,102.0,42.9,59.1,0.0,0.0
112,Andrey Rublev,78.5,19.4,59.1,0.0,0.0
113,Jannik Sinner,66.7,66.7,0.0,0.0,0.0
117,Denis Shapovalov,60.0,0.0,60.0,0.0,0.0
119,Alejandro Davidovich Fokina,50.0,0.0,50.0,0.0,0.0
120,Casper Ruud,33.3,0.0,33.3,0.0,0.0
