Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
1,Rafael Nadal,317.6,48.1,69.5,100.0,100.0
5,Alexander Zverev,258.1,45.0,53.1,80.0,80.0
9,Denis Shapovalov,246.9,38.0,58.9,50.0,100.0
11,Matteo Berrettini,244.4,37.3,64.6,62.5,80.0
15,Frances Tiafoe,239.4,36.6,52.8,50.0,100.0
16,Taylor Fritz,239.3,36.8,62.5,80.0,60.0
20,Pablo Carreno Busta,233.4,43.2,60.7,54.5,75.0
29,Diego Schwartzman,222.8,42.1,59.3,50.0,71.4
33,Grigor Dimitrov,216.4,39.0,53.6,57.1,66.7
38,Marin Cilic,214.1,37.8,69.6,40.0,66.7
41,Roberto Bautista Agut,209.8,41.4,63.7,33.3,71.4
44,Felix Auger-Aliassime,200.1,40.6,59.5,100.0,0.0
45,Cameron Norrie,197.6,36.2,71.4,40.0,50.0
52,Andrey Rublev,191.7,25.0,66.7,33.3,66.7
56,Hubert Hurkacz,186.1,44.4,75.0,66.7,0.0
57,Casper Ruud,186.1,41.8,61.0,33.3,50.0
59,Novak Djokovic,184.5,51.2,58.3,50.0,25.0
60,Stefanos Tsitsipas,184.2,41.5,67.7,25.0,50.0
69,Nick Kyrgios,165.5,45.5,70.0,0.0,50.0
78,Karen Khachanov,138.3,34.5,60.9,42.9,0.0
79,Daniil Medvedev,132.8,31.8,51.0,0.0,50.0
82,Borna Coric,94.0,38.9,55.1,0.0,0.0
83,Alex de Minaur,84.6,26.9,57.7,0.0,0.0
84,Miomir Kecmanovic,60.0,0.0,60.0,0.0,0.0
