Tournament,Date,Series,Surface,Round,Winner,Loser
Chengdu Open,2019-09-26,ATP250,Hard,2nd Round,Grigor Dimitrov,Daniel Evans
Chengdu Open,2019-09-28,ATP250,Hard,Semifinals,Pablo Carreno Busta,Denis Shapovalov
Zhuhai Open,2019-09-24,ATP250,Hard,1st Round,Miomir Kecmanovic,Casper Ruud
Zhuhai Open,2019-09-27,ATP250,Hard,Quarterfinals,Alex de Minaur,Borna Coric
Zhuhai Open,2019-09-28,ATP250,Hard,Semifinals,Alex de Minaur,Roberto Bautista Agut
China Open,2019-09-30,ATP500,Hard,1st Round,Andrey Rublev,Grigor Dimitrov
China Open,2019-09-30,ATP500,Hard,1st Round,Alexander Zverev,Frances Tiafoe
China Open,2019-10-03,ATP500,Hard,2nd Round,Alexander Zverev,Felix Auger-Aliassime
China Open,2019-10-05,ATP500,Hard,Semifinals,Stefanos Tsitsipas,Alexander Zverev
Rakuten Japan Open Tennis Championships,2019-10-01,ATP500,Hard,1st Round,Denis Shapovalov,Miomir Kecmanovic
Shanghai Masters,2019-10-07,Masters 1000,Hard,1st Round,Denis Shapovalov,Frances Tiafoe
Shanghai Masters,2019-10-08,Masters 1000,Hard,1st Round,Andrey Rublev,Borna Coric
Shanghai Masters,2019-10-08,Masters 1000,Hard,2nd Round,Daniil Medvedev,Cameron Norrie
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Stefanos Tsitsipas,Felix Auger-Aliassime
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Karen Khachanov,Taylor Fritz
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Novak Djokovic,Denis Shapovalov
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Matteo Berrettini,Roberto Bautista Agut
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Hubert Hurkacz
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Alexander Zverev,Andrey Rublev
Shanghai Masters,2019-10-11,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Novak Djokovic
Shanghai Masters,2019-10-12,Masters 1000,Hard,Semifinals,Daniil Medvedev,Stefanos Tsitsipas
Shanghai Masters,2019-10-12,Masters 1000,Hard,Semifinals,Alexander Zverev,Matteo Berrettini
Shanghai Masters,2019-10-13,Masters 1000,Hard,The Final,Daniil Medvedev,Alexander Zverev
European Open,2019-10-18,ATP250,Hard,Quarterfinals,Jannik Sinner,Frances Tiafoe
Kremlin Cup,2019-10-19,ATP250,Hard,Semifinals,Andrey Rublev,Marin Cilic
Swiss Indoors,2019-10-22,ATP500,Hard,1st Round,Taylor Fritz,Alexander Zverev
Swiss Indoors,2019-10-23,ATP500,Hard,1st Round,Frances Tiafoe,Daniel Evans
Swiss Indoors,2019-10-23,ATP500,Hard,2nd Round,Alex de Minaur,Taylor Fritz
Erste Bank Open,2019-10-21,ATP500,Hard,1st Round,Karen Khachanov,Hubert Hurkacz
Erste Bank Open,2019-10-23,ATP500,Hard,1st Round,Pablo Carreno Busta,Denis Shapovalov
Erste Bank Open,2019-10-23,ATP500,Hard,2nd Round,Matteo Berrettini,Grigor Dimitrov
Erste Bank Open,2019-10-25,ATP500,Hard,Quarterfinals,Matteo Berrettini,Andrey Rublev
Erste Bank Open,2019-10-25,ATP500,Hard,Quarterfinals,Diego Schwartzman,Karen Khachanov
BNP Paribas Masters,2019-10-28,Masters 1000,Hard,1st Round,Marin Cilic,Hubert Hurkacz
BNP Paribas Masters,2019-10-29,Masters 1000,Hard,1st Round,Taylor Fritz,Frances Tiafoe
BNP Paribas Masters,2019-10-30,Masters 1000,Hard,2nd Round,Stefanos Tsitsipas,Taylor Fritz
BNP Paribas Masters,2019-10-30,Masters 1000,Hard,2nd Round,Alex de Minaur,Roberto Bautista Agut
BNP Paribas Masters,2019-10-31,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Alex de Minaur
BNP Paribas Masters,2019-10-31,Masters 1000,Hard,3rd Round,Denis Shapovalov,Alexander Zverev
BNP Paribas Masters,2019-11-01,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Stefanos Tsitsipas
BNP Paribas Masters,2019-11-02,Masters 1000,Hard,Semifinals,Novak Djokovic,Grigor Dimitrov
BNP Paribas Masters,2019-11-02,Masters 1000,Hard,Semifinals,Denis Shapovalov,Rafael Nadal
BNP Paribas Masters,2019-11-03,Masters 1000,Hard,The Final,Novak Djokovic,Denis Shapovalov
Masters Cup,2019-11-10,Masters Cup,Hard,Round Robin,Novak Djokovic,Matteo Berrettini
Masters Cup,2019-11-11,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Daniil Medvedev
Masters Cup,2019-11-11,Masters Cup,Hard,Round Robin,Alexander Zverev,Rafael Nadal
Masters Cup,2019-11-13,Masters Cup,Hard,Round Robin,Rafael Nadal,Daniil Medvedev
Masters Cup,2019-11-13,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Alexander Zverev
Masters Cup,2019-11-15,Masters Cup,Hard,Round Robin,Rafael Nadal,Stefanos Tsitsipas
Masters Cup,2019-11-15,Masters Cup,Hard,Round Robin,Alexander Zverev,Daniil Medvedev
Brisbane International,2018-01-06,ATP250,Hard,Semifinals,Nick Kyrgios,Grigor Dimitrov
Qatar Exxon Mobil Open,2018-01-02,ATP250,Hard,1st Round,Borna Coric,Pablo Carreno Busta
Qatar Exxon Mobil Open,2018-01-04,ATP250,Hard,Quarterfinals,Andrey Rublev,Borna Coric
Sydney International,2018-01-13,ATP250,Hard,The Final,Daniil Medvedev,Alex de Minaur
Australian Open,2018-01-15,Grand Slam,Hard,1st Round,Denis Shapovalov,Stefanos Tsitsipas
Australian Open,2018-01-17,Grand Slam,Hard,2nd Round,Diego Schwartzman,Casper Ruud
Australian Open,2018-01-19,Grand Slam,Hard,3rd Round,Grigor Dimitrov,Andrey Rublev
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Marin Cilic,Pablo Carreno Busta
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Rafael Nadal,Diego Schwartzman
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Grigor Dimitrov,Nick Kyrgios
Australian Open,2018-01-23,Grand Slam,Hard,Quarterfinals,Marin Cilic,Rafael Nadal
ABN AMRO World Tennis Tournament,2018-02-16,ATP500,Hard,Quarterfinals,Grigor Dimitrov,Andrey Rublev
Delray Beach Open,2018-02-23,ATP250,Hard,Quarterfinals,Denis Shapovalov,Taylor Fritz
