Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
2,Novak Djokovic,181.1,41.2,55.4,40.4,44.1
3,Diego Schwartzman,179.4,38.8,52.6,37.0,51.0
4,Rafael Nadal,177.5,35.9,58.4,38.8,44.4
5,Carlos Alcaraz,174.0,38.2,51.3,37.1,47.4
6,Alexander Zverev,171.3,36.7,54.3,34.1,46.2
7,Casper Ruud,168.8,32.6,57.5,32.1,46.6
16,Stefanos Tsitsipas,161.7,32.6,54.4,29.8,44.9
17,Jannik Sinner,161.2,34.1,51.0,29.4,46.7
19,Daniel Evans,159.8,35.8,48.8,28.4,46.8
20,Roberto Bautista Agut,159.6,31.4,52.2,27.0,49.0
21,Cameron Norrie,157.9,31.6,52.0,27.4,46.9
22,Pablo Carreno Busta,157.9,31.2,54.6,27.7,44.4
26,Karen Khachanov,155.3,30.8,51.0,27.3,46.2
27,Andrey Rublev,155.2,32.4,51.6,26.2,45.0
32,Daniil Medvedev,153.7,35.0,50.2,28.7,39.8
33,Denis Shapovalov,152.8,34.4,47.6,27.5,43.3
36,Alejandro Davidovich Fokina,150.7,34.1,50.4,27.2,39.0
37,Taylor Fritz,150.6,32.4,50.7,27.0,40.5
39,Holger Rune,150.1,29.5,53.3,26.1,41.2
40,Lorenzo Musetti,149.9,30.7,54.9,25.2,39.1
43,Alex de Minaur,148.9,33.7,51.0,26.2,38.0
44,Francisco Cerundolo,148.8,36.9,47.5,25.5,38.9
55,Frances Tiafoe,142.2,30.5,48.9,22.8,40.0
56,Matteo Berrettini,141.6,31.9,48.4,22.3,39.0
57,Felix Auger-Aliassime,141.3,32.2,49.8,23.9,35.4
59,Miomir Kecmanovic,140.8,31.9,49.0,23.0,36.9
63,Grigor Dimitrov,138.6,31.8,47.1,20.9,38.8
65,Tommy Paul,137.8,29.2,47.5,20.7,40.4
70,Marin Cilic,132.0,28.7,49.4,21.0,32.9
77,Hubert Hurkacz,105.2,25.5,40.4,10.1,29.2
