Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
10,Rafael Nadal,304.1,61.9,80.8,60.7,93.5,9.5,2.3
12,Matteo Berrettini,302.4,62.6,84.0,55.3,92.2,10.8,2.5
15,Felix Auger-Aliassime,296.5,63.5,79.4,54.2,90.5,14.6,5.7
17,Borna Coric,295.7,66.9,76.0,55.8,88.8,9.0,0.8
18,Roberto Bautista Agut,294.9,67.4,75.6,59.0,90.4,3.9,1.4
20,Nick Kyrgios,292.2,66.1,75.0,52.9,85.4,16.8,4.0
24,Novak Djokovic,288.9,64.3,78.0,52.7,89.6,8.4,4.1
25,Hubert Hurkacz,288.3,67.6,74.7,52.8,88.2,8.7,3.7
26,Taylor Fritz,287.6,58.6,78.8,53.8,88.9,11.1,3.6
27,Casper Ruud,286.9,69.7,80.6,51.9,86.7,7.0,9.0
28,Miomir Kecmanovic,285.6,63.4,75.9,56.3,88.1,4.9,3.0
30,Daniil Medvedev,283.1,60.3,74.5,55.2,84.8,12.6,4.3
31,Diego Schwartzman,282.1,65.3,72.5,59.4,85.9,1.7,2.7
33,Alex de Minaur,281.4,62.9,73.2,58.0,85.5,4.6,2.8
34,Karen Khachanov,281.3,65.7,75.1,50.9,84.0,8.6,3.0
36,Pablo Carreno Busta,281.0,67.2,74.9,49.5,84.9,6.8,2.3
50,Denis Shapovalov,275.8,55.7,72.0,59.6,83.8,8.7,4.0
54,Daniel Evans,274.8,64.4,71.5,56.5,81.6,3.7,2.9
63,Stefanos Tsitsipas,272.6,62.9,75.4,50.0,82.1,6.6,4.4
64,Marin Cilic,272.1,58.6,80.2,46.9,82.7,9.5,5.8
67,Alexander Zverev,271.1,67.3,76.5,38.3,80.0,16.4,7.4
68,Grigor Dimitrov,271.1,68.6,69.2,54.1,72.7,9.0,2.5
81,Cameron Norrie,263.7,64.6,70.9,47.6,79.0,5.8,4.2
82,Frances Tiafoe,263.3,65.3,69.4,49.6,75.5,6.3,2.8
86,Andrey Rublev,261.5,59.0,64.9,57.1,73.5,9.5,2.5
101,Jannik Sinner,251.6,60.3,57.1,65.2,70.0,1.0,2.0
103,Tommy Paul,249.3,52.8,68.4,55.9,69.2,3.0,0.0
120,Alejandro Davidovich Fokina,185.8,76.1,45.7,36.4,28.6,1.0,2.0
